,num_campo,Ba_ppm ,Co_ppm ,Cr_ppm ,Cu_ppm ,Fe_pct   ,Mg_pct   ,Mn_ppm ,V_ppm ,K-classes,Lat,Long
890,1015-TF-S-0061,30.0,10.0,50.0,20.0,10.0,0.02,700.0,300.0,0,-14.934153381,-39.186815807
891,1015-TF-S-0062,150.0,50.0,100.0,30.0,10.0,0.7,1500.0,300.0,2,-14.848527261,-39.183107168
892,1015-TF-S-0063,200.0,15.0,70.0,50.0,7.0,0.5,1000.0,300.0,0,-14.844007041,-39.182638635
893,1015-TF-S-0065,100.0,7.0,50.0,15.0,3.0,0.05,1500.0,150.0,2,-14.814466288,-39.08363977
894,1015-TF-S-0065R,150.0,10.0,70.0,7.0,5.0,0.02,1000.0,150.0,0,-14.814442422,-39.083259403
895,1015-TF-S-0066,150.0,10.0,50.0,7.0,5.0,0.15,1000.0,150.0,0,-14.823897427,-39.090387831
896,1015-TF-S-0067,100.0,10.0,100.0,10.0,7.0,0.07,700.0,200.0,0,-14.817846602,-39.07852992
897,1015-TF-S-0069,20.0,7.0,70.0,10.0,5.0,0.02,700.0,100.0,0,-14.828698787,-39.070169285
898,1015-TF-S-0071,50.0,7.0,100.0,15.0,7.0,0.05,500.0,300.0,0,-14.84000381,-39.057625456
899,1015-TF-S-0072,100.0,7.0,70.0,10.0,7.0,0.05,2000.0,100.0,2,-14.845879644,-39.061344883
900,1015-TF-S-0073,200.0,50.0,70.0,20.0,7.0,0.15,1500.0,100.0,2,-14.840978121,-39.061439773
901,1015-TF-S-0073R,150.0,20.0,100.0,20.0,5.0,0.2,1000.0,150.0,0,-14.840847287,-39.061820358
902,1015-TF-S-0074,100.0,15.0,70.0,15.0,7.0,0.15,700.0,200.0,0,-14.857145223,-39.062146717
903,1015-TF-S-0075,200.0,15.0,100.0,50.0,10.0,0.3,700.0,300.0,0,-14.930738772,-39.200083695
904,1015-VB-S-0073,300.0,30.0,50.0,20.0,3.0,0.15,1500.0,50.0,2,-14.861134631,-39.237959927
905,1015-VB-S-0075,120.0,10.0,100.0,15.0,3.0,0.03,500.0,100.0,0,-14.884114053,-39.176654045
906,1015-VB-S-0076,150.0,15.0,70.0,15.0,3.0,0.07,700.0,100.0,0,-14.871617149,-39.18134246
